COMBINED PAYROLL AND INDIVIDUAL INCOME TAX: DIFFERENCE BETWEEN BASE AND USER PLANS BY EXPANDED INCOME BIN (2023)
"","Tax Units with Tax Cut","Tax Units with Tax Increase","Count","Average Tax Change","Total Tax Difference","Percent with Tax Increase","Percent with Tax Decrease","Share of Overall Change"
"","Thousands","Thousands","Thousands","","Billions","","",""
"Less than 10","1,010","506","20,601","-4","-0.1","2.5","4.9","0.2"
"10-20","5,493","108","22,024","-76","-1.7","0.5","24.9","3.8"
"20-30","8,237","120","20,392","-159","-3.3","0.6","40.4","7.4"
"30-40","10,278","144","16,838","-285","-4.8","0.8","61.0","11.0"
"40-50","9,217","346","13,358","-364","-4.9","2.6","69.0","11.1"
"50-75","19,728","1,072","26,550","-538","-14.3","4.0","74.3","32.6"
"75-100","11,975","1,271","16,851","-689","-11.6","7.5","71.1","26.5"
"100-200","14,945","4,436","28,276","-625","-17.7","15.7","52.9","40.3"
"200-500","1,611","5,548","11,954","45","0.5","46.4","13.5","-1.2"
"500-1000","67","1,073","1,678","1,877","3.1","63.9","4.0","-7.2"
"1000+","51","535","842","12,742","10.7","63.5","6.0","-24.5"
"All","82,613","15,166","184,426","0","-43.8","0","0","100.0"
"Source: https://www.ospc.org/taxbrain/14814/","","","","","","","",""
